month_start,customer_name,bulk_orders_amount,model_no
01/01/2025,ALPHAVLAST,285000,G25
01/01/2025,FRP,237500,G18
01/01/2025,HICOR,95000,G25
01/01/2025,ISHIDA,475000,G16
01/01/2025,JOC,475000,G18
01/01/2025,TAIHEI,332500,G25
01/02/2025,APEM,95000,G25
01/02/2025,EEI,190000,G18
01/02/2025,EEI MARINE,190000,G18
01/02/2025,RAMCAR,171000,G40
01/03/2025,GRANDSPAN,380000,G18
01/04/2025,EEI,104500,G18
01/04/2025,EEI BAUAN,570000,G25
01/04/2025,EEI MARINE,712555,G18
01/04/2025,RREM,237500,G16
01/05/2025,ACSI,570000,G25
01/05/2025,APLHAVLAST,285000,G25
01/05/2025,EEI,190000,G18
01/05/2025,EEI MARINE,676875,G18
01/06/2025,ALPHAVLAST,285000,G25
01/06/2025,ALPHAVLAST,570000,G40
01/06/2025,HADORON,95000,G40
01/07/2025,EEI MARINE,105550,G18
01/07/2025,FERROTECH,237500,G18
01/08/2025,EEI,570000,G25
01/08/2025,GRANDSPAN,118750,G18
01/08/2025,RAMCAR,95500,G40
01/09/2025,AMSTEEL,475000,G25
01/09/2025,APEM,95000,G25
01/09/2025,EEI BAUAN,1140000,G25
01/09/2025,GRANDSPAN,415625,G18
01/09/2025,ISHIDA,475500,G16
